Single model 1 val loss: 0.04636345058679581	Avg EMD = 2.062008051403575
Ensemble size 1 val loss: 0.04636345058679581	Avg EMD = -1
Single model 2 val loss: 0.048159003257751465	Avg EMD = -1
Ensemble size 2 val loss: 0.048290833830833435	Avg EMD = -1
Ensemble size 2 val loss: 0.045008137822151184	Avg EMD = 2.0711305618851465
Single model 3 val loss: 0.04830178990960121	Avg EMD = -1
Ensemble size 3 val loss: 0.04947277903556824	Avg EMD = -1
Single model 4 val loss: 0.04731554165482521	Avg EMD = -1
Ensemble size 4 val loss: 0.05321725085377693	Avg EMD = -1
Ensemble size 4 val loss: 0.03751722350716591	Avg EMD = 1.8772747074258895
Single model 5 val loss: 0.05019143968820572	Avg EMD = -1
Ensemble size 5 val loss: 0.06236020848155022	Avg EMD = -1
Single model 6 val loss: 0.05043720453977585	Avg EMD = -1
Ensemble size 6 val loss: 0.060709647834300995	Avg EMD = -1
Single model 7 val loss: 0.05050373077392578	Avg EMD = -1
Ensemble size 7 val loss: 0.05906982347369194	Avg EMD = -1
Single model 8 val loss: 0.049067918211221695	Avg EMD = -1
Ensemble size 8 val loss: 0.05612291023135185	Avg EMD = -1
Ensemble size 8 val loss: 0.03683742880821228	Avg EMD = 1.8661485660701556
Single model 9 val loss: 0.052039735019207	Avg EMD = -1
Ensemble size 9 val loss: 0.0778893381357193	Avg EMD = -1
Single model 10 val loss: 0.05777805298566818	Avg EMD = -1
Ensemble size 10 val loss: 0.06858622282743454	Avg EMD = -1
Single model 11 val loss: 0.057582467794418335	Avg EMD = -1
Ensemble size 11 val loss: 0.08896991610527039	Avg EMD = -1
Single model 12 val loss: 0.05806170031428337	Avg EMD = -1
Ensemble size 12 val loss: 0.07687067240476608	Avg EMD = -1
Single model 13 val loss: 0.057044848799705505	Avg EMD = -1
Ensemble size 13 val loss: 0.0848499983549118	Avg EMD = -1
Single model 14 val loss: 0.058410994708538055	Avg EMD = -1
Ensemble size 14 val loss: 0.07690399140119553	Avg EMD = -1
Single model 15 val loss: 0.055910199880599976	Avg EMD = -1
Ensemble size 15 val loss: 0.07671720534563065	Avg EMD = -1
Single model 16 val loss: 0.05576141178607941	Avg EMD = -1
Ensemble size 16 val loss: 0.0773090198636055	Avg EMD = -1
Ensemble size 16 val loss: 0.03669276088476181	Avg EMD = 1.8612134246986956
Single model 17 val loss: 0.05582590401172638	Avg EMD = -1
Ensemble size 17 val loss: 0.07493670284748077	Avg EMD = -1
Single model 18 val loss: 0.05547640845179558	Avg EMD = -1
Ensemble size 18 val loss: 0.07927453517913818	Avg EMD = -1
Single model 19 val loss: 0.055411502718925476	Avg EMD = -1
Ensemble size 19 val loss: 0.07408193498849869	Avg EMD = -1
