trial,emd,loss,ensemble_size,model_size
adaboost_large_seq_seed2,1.28,0.009,16,large
adaboost_large_seq_seed2,1.286,0.008,8,large
adaboost_large_seq_seed432384445,1.287,0.009,16,large
adaboost_large_seq_seed2,1.293,0.009,4,large
adaboost_large_seq_seed1,1.296,0.008,16,large
adaboost_large_seq_seed432384445,1.297,0.01,8,large
adaboost_large_seq_seed432384445,1.297,0.01,32,large
adaboost_large_seq_seed1,1.298,0.008,8,large
adaboost_large_seq_seed1,1.302,0.009,4,large
adaboost_large_seq_seed432384445,1.303,0.01,4,large
adaboost_medium_seq_seed524926359,1.316,0.024,16,medium
adaboost_medium_seq_seed524926359,1.325,0.023,8,medium
adaboost_medium_seq_seed1,1.332,0.019,16,medium
adaboost_large_seq_seed2,1.35,0.01,2,large
adaboost_large_seq_seed1,1.352,0.009,2,large
adaboost_medium_seq_seed1,1.368,0.019,8,medium
adaboost_large_seq_seed432384445,1.372,0.012,2,large
adaboost_medium_seq_seed524926359,1.38,0.023,4,medium
adaboost_medium_seq_seed2,1.42,0.024,16,medium
adaboost_medium_seq_seed1,1.435,0.019,4,medium
adaboost_small_seq_seed963241121,1.436,0.018,8,small
adaboost_small_seq_seed963241121,1.44,0.018,32,small
adaboost_medium_seq_seed524926359,1.45,0.024,2,medium
adaboost_small_seq_seed963241121,1.453,0.018,16,small
adaboost_small_seq_seed963241121,1.471,0.018,4,small
adaboost_medium_seq_seed2,1.48,0.026,8,medium
adaboost_medium_seq_seed2,1.49,0.025,4,medium
adaboost_small_seq_seed963241121,1.512,0.02,2,small
adaboost_small_seq_seed2,1.515,0.023,16,small
adaboost_small_seq_seed2,1.52,0.023,8,small
adaboost_small_seq_seed1,1.537,0.02,16,small
adaboost_small_seq_seed2,1.543,0.024,4,small
adaboost_small_seq_seed1,1.547,0.02,8,small
adaboost_medium_seq_seed2,1.559,0.027,2,medium
adaboost_medium_seq_seed1,1.591,0.022,2,medium
adaboost_small_seq_seed2,1.594,0.025,2,small
adaboost_small_seq_seed1,1.595,0.021,4,small
adaboost_weak2_seq_seed1583736550,1.637,0.033,32,weak
adaboost_small_seq_seed1,1.648,0.024,2,small
adaboost_weak2_seq_seed1583736550,1.658,0.033,16,weak
adaboost_weak1_seq_seed1665510883,1.661,0.027,32,weak
adaboost_weak1_seq_seed1665510883,1.67,0.026,16,weak
adaboost_weak1_seq_seed1665510883,1.682,0.025,8,weak
adaboost_weak2_seq_seed1583736550,1.686,0.035,8,weak
adaboost_weak2_seq_seed1,1.702,0.036,32,weak
adaboost_weak2_seq_seed1,1.707,0.037,16,weak
adaboost_weak2_seq_seed1583736550,1.71,0.036,4,weak
adaboost_weak2_seq_seed1,1.725,0.037,4,weak
adaboost_weak1_seq_seed1,1.732,0.029,8,weak
adaboost_weak2_seq_seed1,1.735,0.037,8,weak
adaboost_weak1_seq_seed1,1.765,0.029,4,weak
adaboost_weak1_seq_seed1,1.767,0.029,16,weak
adaboost_weak1_seq_seed1665510883,1.77,0.029,4,weak
adaboost_weak2_seq_seed1583736550,1.77,0.036,2,weak
adaboost_weak2_seq_seed1,1.775,0.039,2,weak
adaboost_weak1_seq_seed1,1.82,0.033,32,weak
adaboost_weak1_seq_seed1665510883,1.829,0.033,2,weak
adaboost_weak1_seq_seed2,1.832,0.037,32,weak
adaboost_weak1_seq_seed1,1.851,0.034,2,weak
adaboost_weak1_seq_seed2,1.861,0.037,16,weak
adaboost_weak1_seq_seed2,1.866,0.037,8,weak
adaboost_weak1_seq_seed2,1.877,0.038,4,weak
adaboost_weak2_seq_seed2,2.021,0.066,32,weak
adaboost_weak2_seq_seed2,2.034,0.066,16,weak
adaboost_weak2_seq_seed2,2.038,0.066,8,weak
adaboost_weak2_seq_seed2,2.051,0.067,4,weak
adaboost_weak2_seq_seed2,2.064,0.067,2,weak
adaboost_weak1_seq_seed2,2.071,0.045,2,weak
