trial,emd,loss,ensemble_size,model_size
averaging_large_fixed_mask_ensemble_size16_seed2,1.128,0.006,16,large_fixed
averaging_large_fixed_mask_ensemble_size8_seed1,1.133,0.007,8,large_fixed
averaging_small_ensemble_size32_seed1,1.139,0.007,32,small
averaging_large_fixed_mask_no_wd_ensemble_size16,1.141,0.006,16,large_fixed
averaging_medium_ensemble_size32_seed1,1.153,0.007,32,medium
averaging_large_ensemble_size16_seed1,1.157,0.007,16,large
averaging_large_fixed_mask_ensemble_size16_seed1,1.162,0.006,16,large_fixed
averaging_large_fixed_mask_ensemble_size32_seed432384445,1.165,0.006,32,large_fixed
averaging_large_fixed_mask_no_wd_ensemble_size32,1.182,0.007,32,large_fixed
averaging_large_ensemble_size8_seed2,1.182,0.007,8,large
averaging_large_ensemble_size8_seed432384445,1.185,0.007,8,large
averaging_large_fixed_mask_ensemble_size16_seed432384445,1.185,0.006,16,large_fixed
averaging_large_ensemble_size32_seed2,1.19,0.006,32,large
averaging_medium_ensemble_size16_seed524926359,1.196,0.007,16,medium
averaging_large_fixed_mask_no_wd_ensemble_size8,1.202,0.008,8,large_fixed
averaging_large_fixed_mask_ensemble_size8_seed432384445,1.212,0.007,8,large_fixed
averaging_medium_fixed_mask_ensemble_size32_seed1,1.217,0.008,32,medium_fixed
averaging_medium_ensemble_size32_seed524926359,1.217,0.007,32,medium
averaging_medium_ensemble_size16_seed1,1.218,0.008,16,medium
averaging_small_shared_io_layers_ensemble_size32_seed3,1.227,0.009,32,small_shared_input_output_layers
averaging_large_ensemble_size16_seed432384445,1.228,0.009,16,large
averaging_medium_fixed_mask_ensemble_size8_seed1,1.236,0.009,8,medium_fixed
averaging_large_ensemble_size4_seed1,1.247,0.007,4,large
averaging_medium_ensemble_size8_seed2,1.248,0.008,8,medium
averaging_medium_ensemble_size8_seed1,1.26,0.009,8,medium
averaging_large_fixed_mask_ensemble_size8_seed2,1.263,0.011,8,large_fixed
averaging_medium_ensemble_size8_seed524926359,1.269,0.009,8,medium
averaging_small_shared_io_layers_ensemble_size16,1.27,0.009,16,small_shared_input_output_layers
averaging_small_ensemble_size16_seed1,1.271,0.008,16,small
averaging_small_fixed_mask_ensemble_size32_seed1,1.271,0.008,32,small_fixed
averaging_medium_fixed_mask_ensemble_size16_seed2,1.276,0.01,16,medium_fixed
averaging_large_shared_io_layers_ensemble_size32,1.276,0.01,32,large_shared_input_output_layers
averaging_medium_fixed_mask_ensemble_size16_seed524926359,1.28,0.009,16,medium_fixed
averaging_medium_fixed_mask_ensemble_size8_seed524926359,1.281,0.011,8,medium_fixed
averaging_small_fixed_mask_ensemble_size16_seed1,1.283,0.01,16,small_fixed
averaging_large_fixed_mask_ensemble_size4_seed2,1.284,0.008,4,large_fixed
averaging_small_ensemble_size16_seed2,1.285,0.008,16,small
averaging_small_ensemble_size32_seed963241121,1.285,0.014,32,small
averaging_large_shared_io_layers_ensemble_size4,1.288,0.011,4,large_shared_input_output_layers
averaging_small_shared_io_layers_ensemble_size8,1.292,0.011,8,small_shared_input_output_layers
averaging_large_shared_io_layers_ensemble_size8,1.296,0.009,8,large_shared_input_output_layers
averaging_medium_fixed_mask_ensemble_size16_seed1,1.297,0.009,16,medium_fixed
averaging_large_ensemble_size2_seed1,1.308,0.009,2,large
averaging_medium_ensemble_size32_seed2,1.311,0.011,32,medium
averaging_medium_fixed_mask_ensemble_size4_seed1,1.313,0.011,4,medium_fixed
averaging_medium_ensemble_size4_seed1,1.313,0.012,4,medium
averaging_large_fixed_mask_no_wd_ensemble_size4,1.314,0.011,4,large_fixed
averaging_large_fixed_mask_ensemble_size32_seed2,1.318,0.01,32,large_fixed
averaging_small_fixed_mask_ensemble_size8_seed963241121,1.319,0.01,8,small_fixed
averaging_small_fixed_mask_no_wd_ensemble_size8,1.319,0.01,8,small_fixed
averaging_large_fixed_mask_ensemble_size4_seed432384445,1.321,0.01,4,large_fixed
averaging_small_ensemble_size32_seed2,1.322,0.013,32,small
averaging_large_fixed_mask_ensemble_size2_seed1,1.323,0.009,2,large_fixed
averaging_medium_ensemble_size4_seed2,1.327,0.012,4,medium
averaging_small_fixed_mask_no_wd_ensemble_size16,1.328,0.01,16,small_fixed
averaging_small_fixed_mask_ensemble_size16_seed963241121,1.328,0.01,16,small_fixed
averaging_small_ensemble_size8_seed1,1.329,0.01,8,small
averaging_large_ensemble_size16_seed2,1.33,0.01,16,large
averaging_small_fixed_mask_ensemble_size8_seed2,1.331,0.012,8,small_fixed
averaging_medium_fixed_mask_ensemble_size4_seed2,1.34,0.013,4,medium_fixed
averaging_large_ensemble_size2_seed432384445,1.34,0.01,2,large
averaging_small_ensemble_size16_seed963241121,1.344,0.011,16,small
averaging_small_fixed_mask_no_wd_ensemble_size32,1.347,0.011,32,small_fixed
averaging_small_fixed_mask_ensemble_size32_seed963241121,1.347,0.011,32,small_fixed
averaging_small_ensemble_size8_seed2,1.353,0.011,8,small
averaging_small_fixed_mask_ensemble_size16_seed2,1.356,0.014,16,small_fixed
averaging_medium_fixed_mask_ensemble_size32_seed524926359,1.361,0.014,32,medium_fixed
averaging_large_fixed_mask_no_wd_ensemble_size2,1.363,0.01,2,large_fixed
averaging_large_ensemble_size2_seed2,1.372,0.011,2,large
averaging_large_ensemble_size32_seed1,1.374,0.01,32,large
averaging_small_shared_io_layers_ensemble_size2,1.386,0.014,2,small_shared_input_output_layers
averaging_large_fixed_mask_ensemble_size32_seed1,1.392,0.012,32,large_fixed
averaging_small_fixed_mask_no_wd_ensemble_size4,1.398,0.013,4,small_fixed
averaging_small_fixed_mask_ensemble_size4_seed963241121,1.398,0.013,4,small_fixed
averaging_small_ensemble_size4_seed1,1.409,0.012,4,small
averaging_small_shared_io_layers_ensemble_size4,1.414,0.014,4,small_shared_input_output_layers
averaging_medium_fixed_mask_ensemble_size8_seed2,1.418,0.017,8,medium_fixed
averaging_large_ensemble_size4_seed432384445,1.42,0.013,4,large
averaging_large_ensemble_size8_seed1,1.438,0.012,8,large
averaging_small_fixed_mask_ensemble_size4_seed1,1.442,0.015,4,small_fixed
averaging_small_ensemble_size8_seed963241121,1.448,0.014,8,small
averaging_small_fixed_mask_ensemble_size4_seed2,1.451,0.016,4,small_fixed
averaging_small_fixed_mask_no_wd_ensemble_size2,1.455,0.015,2,small_fixed
averaging_small_fixed_mask_ensemble_size2_seed963241121,1.455,0.015,2,small_fixed
averaging_large_fixed_mask_ensemble_size2_seed2,1.455,0.011,2,large_fixed
averaging_small_fixed_mask_ensemble_size8_seed1,1.462,0.013,8,small_fixed
averaging_medium_fixed_mask_ensemble_size2_seed2,1.465,0.018,2,medium_fixed
averaging_large_shared_io_layers_ensemble_size2,1.48,0.014,2,large_shared_input_output_layers
averaging_large_shared_io_layers_ensemble_size16,1.482,0.013,16,large_shared_input_output_layers
averaging_medium_ensemble_size4_seed524926359,1.483,0.017,4,medium
averaging_large_fixed_mask_ensemble_size2_seed432384445,1.488,0.014,2,large_fixed
averaging_medium_ensemble_size2_seed2,1.507,0.021,2,medium
averaging_small_ensemble_size2_seed963241121,1.515,0.017,2,small
