trial,accuracy,loss,ensemble_size,model_size
adaboost_jscxl_deg2_ensemble_size32,74.855,1.078,1,jscxl_deg2
adaboost_jscxl_deg2_ensemble_size32,74.855,1.131,3,jscxl_deg2
adaboost_jscxl_deg2_ensemble_size32,74.855,1.15,4,jscxl_deg2
adaboost_jscxl_deg2_ensemble_size32,74.855,1.099,2,jscxl_deg2
adaboost_jscxl_deg2_ensemble_size32,74.504,1.174,5,jscxl_deg2
adaboost_jscxl_deg2_ensemble_size32,74.285,1.203,6,jscxl_deg2
adaboost_jscxl_deg2_ensemble_size32,73.971,1.226,7,jscxl_deg2
adaboost_jscxl_deg2_ensemble_size32,73.78,1.253,9,jscxl_deg2
adaboost_jscxl_deg2_ensemble_size32,73.757,1.243,8,jscxl_deg2
adaboost_jscxl_deg2_ensemble_size32,73.401,1.265,10,jscxl_deg2
adaboost_jscxl_deg2_ensemble_size32,73.325,1.276,11,jscxl_deg2
adaboost_jscxl_deg2_ensemble_size32,73.312,1.292,13,jscxl_deg2
adaboost_jscxl_deg2_ensemble_size32,73.293,1.3,14,jscxl_deg2
adaboost_jscxl_deg2_ensemble_size32,73.258,1.287,12,jscxl_deg2
adaboost_jscxl_deg2_ensemble_size32,73.151,1.328,20,jscxl_deg2
adaboost_jscxl_deg2_ensemble_size32,73.106,1.305,15,jscxl_deg2
adaboost_jscxl_deg2_ensemble_size32,73.039,1.331,21,jscxl_deg2
adaboost_jscxl_deg2_ensemble_size32,73.023,1.326,19,jscxl_deg2
adaboost_jscxl_deg2_ensemble_size32,72.984,1.316,17,jscxl_deg2
adaboost_jscxl_deg2_ensemble_size32,72.956,1.31,16,jscxl_deg2
adaboost_jscxl_deg2_ensemble_size32,72.942,1.347,25,jscxl_deg2
adaboost_jscxl_deg2_ensemble_size32,72.937,1.341,23,jscxl_deg2
adaboost_jscxl_deg2_ensemble_size32,72.937,1.321,18,jscxl_deg2
adaboost_jscxl_deg2_ensemble_size32,72.907,1.344,24,jscxl_deg2
adaboost_jscxl_deg2_ensemble_size32,72.868,1.336,22,jscxl_deg2
adaboost_jscxl_deg2_ensemble_size32,72.868,1.361,32,jscxl_deg2
adaboost_jscxl_deg2_ensemble_size32,72.859,1.357,30,jscxl_deg2
adaboost_jscxl_deg2_ensemble_size32,72.852,1.358,31,jscxl_deg2
adaboost_jscxl_deg2_ensemble_size32,72.85,1.349,26,jscxl_deg2
adaboost_jscxl_deg2_ensemble_size32,72.824,1.349,27,jscxl_deg2
adaboost_jscxl_deg2_ensemble_size32,72.797,1.353,29,jscxl_deg2
adaboost_jscxl_deg2_ensemble_size32,72.768,1.351,28,jscxl_deg2
adaboost_jscmlite_deg2_ensemble_size32,71.939,1.163,3,jscmlite_deg2
adaboost_jscmlite_deg2_ensemble_size32,71.939,1.177,4,jscmlite_deg2
adaboost_jscmlite_deg2_ensemble_size32,71.939,1.114,1,jscmlite_deg2
adaboost_jscmlite_deg2_ensemble_size32,71.939,1.14,2,jscmlite_deg2
adaboost_jscmlite_deg2_ensemble_size32,71.581,1.197,5,jscmlite_deg2
adaboost_jscmlite_deg2_ensemble_size32,71.504,1.216,6,jscmlite_deg2
adaboost_jscmlite_deg2_ensemble_size32,71.068,1.233,7,jscmlite_deg2
adaboost_jscmlite_deg2_ensemble_size32,70.813,1.246,8,jscmlite_deg2
adaboost_jscmlite_deg2_ensemble_size32,70.763,1.258,9,jscmlite_deg2
adaboost_jscmlite_deg2_ensemble_size32,70.743,1.277,11,jscmlite_deg2
adaboost_jscmlite_deg2_ensemble_size32,70.688,1.269,10,jscmlite_deg2
adaboost_jscmlite_deg2_ensemble_size32,70.512,1.288,12,jscmlite_deg2
adaboost_jscmlite_deg2_ensemble_size32,70.328,1.296,13,jscmlite_deg2
adaboost_jscmlite_deg2_ensemble_size32,70.326,1.319,17,jscmlite_deg2
adaboost_jscmlite_deg2_ensemble_size32,70.268,1.326,18,jscmlite_deg2
adaboost_jscmlite_deg2_ensemble_size32,70.252,1.309,15,jscmlite_deg2
adaboost_jscmlite_deg2_ensemble_size32,70.247,1.347,24,jscmlite_deg2
adaboost_jscmlite_deg2_ensemble_size32,70.242,1.314,16,jscmlite_deg2
adaboost_jscmlite_deg2_ensemble_size32,70.223,1.353,26,jscmlite_deg2
adaboost_jscmlite_deg2_ensemble_size32,70.203,1.35,25,jscmlite_deg2
adaboost_jscmlite_deg2_ensemble_size32,70.175,1.354,27,jscmlite_deg2
adaboost_jscmlite_deg2_ensemble_size32,70.154,1.304,14,jscmlite_deg2
adaboost_jscmlite_deg2_ensemble_size32,70.122,1.331,19,jscmlite_deg2
adaboost_jscmlite_deg2_ensemble_size32,70.12,1.342,22,jscmlite_deg2
adaboost_jscmlite_deg2_ensemble_size32,70.112,1.344,23,jscmlite_deg2
adaboost_jscmlite_deg2_ensemble_size32,70.111,1.356,28,jscmlite_deg2
adaboost_jscmlite_deg2_ensemble_size32,70.096,1.363,31,jscmlite_deg2
adaboost_jscmlite_deg2_ensemble_size32,70.082,1.335,20,jscmlite_deg2
adaboost_jscmlite_deg2_ensemble_size32,70.073,1.358,29,jscmlite_deg2
adaboost_jscmlite_deg2_ensemble_size32,70.057,1.36,30,jscmlite_deg2
adaboost_jscmlite_deg2_ensemble_size32,70.055,1.338,21,jscmlite_deg2
adaboost_jscmlite_deg2_ensemble_size32,70.049,1.364,32,jscmlite_deg2
