trial,accuracy,loss,ensemble_size,model_size
large_no_post_trans_ensemble_size32,75.21,0.687,32,large_no_post
large_no_post_trans_ensemble_size16,75.17,0.688,16,large_no_post
medium_no_post_trans_ensemble_size32,75.13,0.691,32,medium_no_post
averaging_large_ensemble_size32,75.12,0.688,32,large
averaging_large_ensemble_size16,75.08,0.689,16,large
large_no_post_trans_ensemble_size8,75.03,0.691,8,large_no_post
averaging_medium_ensemble_size32,75.02,0.693,32,medium
large_same_output_scale_post_trans_ensemble_size16,75.01,0.694,16,large_same_output_scale_post_trans
averaging_large_ensemble_size8,74.99,0.693,8,large
large_qavg_ensemble_size6,74.95,0.695,6,large_qavg
medium_no_post_trans_ensemble_size16,74.83,0.697,16,medium_no_post
averaging_medium_ensemble_size16,74.82,0.698,16,medium
large_same_output_scale_post_trans_ensemble_size8,74.76,0.707,8,large_same_output_scale_post_trans
averaging_large_ensemble_size4,74.67,0.703,4,large
averaging_small_ensemble_size128,74.58,0.707,128,small
large_same_output_scale_post_trans_ensemble_size4,74.58,0.71,4,large_same_output_scale_post_trans
large_qavg_ensemble_size4,74.54,0.704,4,large_qavg
medium_no_post_trans_ensemble_size8,74.53,0.707,8,medium_no_post
large_no_post_trans_ensemble_size4,74.48,0.706,4,large_no_post
averaging_medium_ensemble_size8,74.43,0.709,8,medium
averaging_small_ensemble_size64,74.34,0.715,64,small
medium_same_output_scale_post_trans_ensemble_size16,74.33,0.731,16,medium_same_output_scale_post_trans
medium_same_output_scale_post_trans_ensemble_size8,74.3,0.737,8,medium_same_output_scale_post_trans
averaging_large_ensemble_size2,74.17,0.718,2,large
large_qavg_ensemble_size2,74.17,0.718,2,large_qavg
medium_qavg_ensemble_size6,74.1,0.725,6,medium_qavg
large_same_output_scale_post_trans_ensemble_size2,73.99,0.723,2,large_same_output_scale_post_trans
small_no_post_trans_ensemble_size32,73.94,0.73,32,small_no_post
averaging_small_ensemble_size32,73.92,0.728,32,small
medium_no_post_trans_ensemble_size4,73.91,0.725,4,medium_no_post
averaging_medium_ensemble_size4,73.91,0.728,4,medium
medium_qavg_ensemble_size4,73.82,0.733,4,medium_qavg
medium_same_output_scale_post_trans_ensemble_size4,73.82,0.736,4,medium_same_output_scale_post_trans
large_no_post_trans_ensemble_size2,73.79,0.726,2,large_no_post
large_same_input_scale_ensemble_size8,73.68,0.728,8,large_same_input_scale
large_same_input_scale_ensemble_size16,73.62,0.729,16,large_same_input_scale
small_same_output_scale_post_trans_ensemble_size128_seed1,73.54,0.781,128,small_same_output_scale_post_trans
averaging_small_ensemble_size16,73.54,0.744,16,small
large_same_input_scale_ensemble_size4,73.54,0.732,4,large_same_input_scale
small_no_post_trans_ensemble_size16,73.44,0.743,16,small_no_post
large_same_output_scale_post_trans_ensemble_size32,73.39,0.734,32,large_same_output_scale_post_trans
large_same_input_scale_ensemble_size2,73.29,0.739,2,large_same_input_scale
averaging_medium_ensemble_size2,73.29,0.748,2,medium
medium_same_output_scale_post_trans_ensemble_size2,73.23,0.751,2,medium_same_output_scale_post_trans
medium_qavg_ensemble_size2,73.12,0.755,2,medium_qavg
small_same_output_scale_post_trans_ensemble_size32_seed1,73.05,0.803,32,small_same_output_scale_post_trans
uniform_input_small_ensemble_size8,72.99,0.759,8,uniform_input_small
medium_no_post_trans_ensemble_size2,72.97,0.755,2,medium_no_post
small_same_output_scale_post_trans_ensemble_size32_seed6,72.91,0.801,32,small_same_output_scale_post_trans
small_no_post_trans_ensemble_size8,72.89,0.761,8,small_no_post
medium_same_input_scale_ensemble_size8,72.87,0.752,8,medium_same_input_scale
medium_same_input_scale_ensemble_size16,72.81,0.752,16,medium_same_input_scale
medium_same_input_scale_ensemble_size4,72.78,0.757,4,medium_same_input_scale
averaging_small_ensemble_size8,72.76,0.764,8,small
medium_same_input_scale_ensemble_size2,72.5,0.766,2,medium_same_input_scale
small_same_output_scale_ensemble_size16,72.5,0.843,16,small_same_output_scale
