trial,accuracy,loss,ensemble_size,model_size
bagging_jscxl_deg2_ensemble_size32,75.202,0.689,26,jscxl_deg2
bagging_jscxl_deg2_ensemble_size32,75.193,0.689,23,jscxl_deg2
bagging_jscxl_deg2_ensemble_size32,75.192,0.689,25,jscxl_deg2
bagging_jscxl_deg2_ensemble_size32,75.192,0.689,31,jscxl_deg2
bagging_jscxl_deg2_ensemble_size32,75.192,0.689,22,jscxl_deg2
bagging_jscxl_deg2_ensemble_size32,75.19,0.689,28,jscxl_deg2
bagging_jscxl_deg2_ensemble_size32,75.19,0.689,24,jscxl_deg2
bagging_jscxl_deg2_ensemble_size32,75.186,0.689,32,jscxl_deg2
bagging_jscxl_deg2_ensemble_size32,75.185,0.689,18,jscxl_deg2
bagging_jscxl_deg2_ensemble_size32,75.185,0.689,27,jscxl_deg2
bagging_jscxl_deg2_ensemble_size32,75.184,0.689,29,jscxl_deg2
bagging_jscxl_deg2_ensemble_size32,75.184,0.689,17,jscxl_deg2
bagging_jscxl_deg2_ensemble_size32,75.182,0.689,19,jscxl_deg2
bagging_jscxl_deg2_ensemble_size32,75.181,0.69,16,jscxl_deg2
bagging_jscxl_deg2_ensemble_size32,75.18,0.689,20,jscxl_deg2
bagging_jscxl_deg2_ensemble_size32,75.179,0.689,30,jscxl_deg2
bagging_jscxl_deg2_ensemble_size32,75.178,0.689,21,jscxl_deg2
bagging_jscxl_deg2_ensemble_size32,75.168,0.69,15,jscxl_deg2
bagging_jscxl_deg2_ensemble_size32,75.154,0.69,13,jscxl_deg2
bagging_jscxl_deg2_ensemble_size32,75.149,0.69,14,jscxl_deg2
bagging_jscxl_deg2_ensemble_size32,75.148,0.69,12,jscxl_deg2
bagging_jscxl_deg2_ensemble_size32,75.143,0.691,10,jscxl_deg2
bagging_jscxl_deg2_ensemble_size32,75.138,0.691,9,jscxl_deg2
bagging_jscxl_deg2_ensemble_size32,75.134,0.691,11,jscxl_deg2
bagging_jscxl_deg2_ensemble_size32,75.133,0.692,7,jscxl_deg2
bagging_jscxl_deg2_ensemble_size32,75.131,0.691,8,jscxl_deg2
bagging_jscxl_deg2_ensemble_size32,75.097,0.693,6,jscxl_deg2
bagging_jscxl_deg2_ensemble_size32,75.076,0.693,5,jscxl_deg2
bagging_jscxl_deg2_ensemble_size32,75.042,0.694,4,jscxl_deg2
bagging_jscxl_deg2_ensemble_size32,75.01,0.695,3,jscxl_deg2
bagging_jscxl_deg2_ensemble_size32,74.931,0.697,2,jscxl_deg2
bagging_jscxl_deg2_ensemble_size32,74.77,0.702,1,jscxl_deg2
bagging_jscmlite_deg2_ensemble_size32,72.948,0.756,31,jscmlite_deg2
bagging_jscmlite_deg2_ensemble_size32,72.946,0.756,32,jscmlite_deg2
bagging_jscmlite_deg2_ensemble_size32,72.942,0.756,28,jscmlite_deg2
bagging_jscmlite_deg2_ensemble_size32,72.939,0.756,29,jscmlite_deg2
bagging_jscmlite_deg2_ensemble_size32,72.932,0.756,30,jscmlite_deg2
bagging_jscmlite_deg2_ensemble_size32,72.926,0.756,24,jscmlite_deg2
bagging_jscmlite_deg2_ensemble_size32,72.921,0.756,23,jscmlite_deg2
bagging_jscmlite_deg2_ensemble_size32,72.921,0.756,21,jscmlite_deg2
bagging_jscmlite_deg2_ensemble_size32,72.92,0.756,25,jscmlite_deg2
bagging_jscmlite_deg2_ensemble_size32,72.92,0.757,19,jscmlite_deg2
bagging_jscmlite_deg2_ensemble_size32,72.916,0.756,20,jscmlite_deg2
bagging_jscmlite_deg2_ensemble_size32,72.916,0.756,22,jscmlite_deg2
bagging_jscmlite_deg2_ensemble_size32,72.915,0.756,27,jscmlite_deg2
bagging_jscmlite_deg2_ensemble_size32,72.911,0.757,18,jscmlite_deg2
bagging_jscmlite_deg2_ensemble_size32,72.91,0.756,26,jscmlite_deg2
bagging_jscmlite_deg2_ensemble_size32,72.902,0.757,16,jscmlite_deg2
bagging_jscmlite_deg2_ensemble_size32,72.894,0.757,15,jscmlite_deg2
bagging_jscmlite_deg2_ensemble_size32,72.894,0.758,12,jscmlite_deg2
bagging_jscmlite_deg2_ensemble_size32,72.894,0.757,17,jscmlite_deg2
bagging_jscmlite_deg2_ensemble_size32,72.889,0.757,13,jscmlite_deg2
bagging_jscmlite_deg2_ensemble_size32,72.874,0.758,11,jscmlite_deg2
bagging_jscmlite_deg2_ensemble_size32,72.864,0.757,14,jscmlite_deg2
bagging_jscmlite_deg2_ensemble_size32,72.855,0.758,10,jscmlite_deg2
bagging_jscmlite_deg2_ensemble_size32,72.84,0.759,8,jscmlite_deg2
bagging_jscmlite_deg2_ensemble_size32,72.839,0.758,9,jscmlite_deg2
bagging_jscmlite_deg2_ensemble_size32,72.83,0.759,7,jscmlite_deg2
bagging_jscmlite_deg2_ensemble_size32,72.804,0.76,6,jscmlite_deg2
bagging_jscmlite_deg2_ensemble_size32,72.783,0.76,5,jscmlite_deg2
bagging_jscmlite_deg2_ensemble_size32,72.725,0.761,4,jscmlite_deg2
bagging_jscmlite_deg2_ensemble_size32,72.609,0.763,3,jscmlite_deg2
bagging_jscmlite_deg2_ensemble_size32,72.412,0.768,2,jscmlite_deg2
bagging_jscmlite_deg2_ensemble_size32,72.009,0.779,1,jscmlite_deg2
