trial,accuracy,loss,ensemble_size,tag
averaging_ensemble_size32,98.03,0.102,32,deg1
averaging_ensemble_size16,97.8,0.121,16,deg1
deg3_ensemble_size8,97.63,0.128,8,deg3
deg3_ensemble_size4,97.49,0.115,4,deg3
deg4_ensemble_size8,97.42,0.12,8,deg4
averaging_ensemble_size8,97.4,0.112,8,deg1
deg4_ensemble_size4,97.2,0.13,4,deg4
deg3_ensemble_size2,96.95,0.121,2,deg3
deg4_ensemble_size2,96.73,0.142,2,deg4
averaging_ensemble_size4,96.67,0.121,4,deg1
deg3_shared_io_ensemble_size8,96.63,0.153,8,deg3_shared_io
deg3_shared_io_ensemble_size4,96.54,0.14,4,deg3_shared_io
deg1_same_output_scale_post_trans_ensemble_size8,96.53,0.141,8,small_same_output_scale_post_trans
deg3_shared_io_ensemble_size2,96.52,0.137,2,deg3_shared_io
deg1_same_output_scale_post_trans_ensemble_size16,96.47,0.151,16,small_same_output_scale_post_trans
deg1_same_output_scale_post_trans_ensemble_size32,96.43,0.167,32,small_same_output_scale_post_trans
small_deg3_shared_io_ensemble_size8_seed1,96.27,0.145,8,small_deg3_shared_io
small_deg2_ensemble_size8,95.68,0.18,8,deg2
deg1_same_output_scale_post_trans_ensemble_size4,95.65,0.15,4,small_same_output_scale_post_trans
averaging_ensemble_size2,95.59,0.151,2,deg1
small_deg3_shared_io_ensemble_size4,95.47,0.174,4,small_deg3_shared_io
small_deg2_ensemble_size4,94.3,0.194,4,deg2
deg1_same_output_scale_post_trans_ensemble_size2,94.12,0.19,2,small_same_output_scale_post_trans
small_deg3_shared_io_ensemble_size2,93.87,0.215,2,small_deg3_shared_io
small_deg2_shared_io_ensemble_size8,92.64,0.28,8,deg2_shared_io
small_deg2_ensemble_size2,92.3,0.252,2,deg2
small_deg2_shared_io_ensemble_size4,92.04,0.274,4,deg2_shared_io
small_deg2_shared_io_ensemble_size2,89.65,0.317,2,deg2_shared_io
