Copyright 1986-2020 Xilinx, Inc. All Rights Reserved.
-----------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2020.2 (lin64) Build 3064766 Wed Nov 18 09:12:47 MST 2020
| Date         : Thu Oct  3 05:06:14 2024
| Host         : 9fc2dc5cfc60 running 64-bit unknown
| Command      : report_utilization -hierarchical -file /workspace/logicnets/mnist_xs_util.txt
| Design       : logicnet_0
| Device       : xcvu9pflgb2104-2
| Design State : Synthesized
-----------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+----------------------------+-------------------------+------------+------------+---------+------+------+--------+--------+------+------------+
|          Instance          |          Module         | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | URAM | DSP Blocks |
+----------------------------+-------------------------+------------+------------+---------+------+------+--------+--------+------+------------+
| logicnet_0                 |                   (top) |       3873 |       3873 |       0 |    0 | 2239 |      0 |      0 |    0 |          0 |
|   ens0_layer0_inst         |             ens0_layer0 |       2188 |       2188 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N0_inst    |          ens0_layer0_N0 |          4 |          4 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N1000_inst |       ens0_layer0_N1000 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N1001_inst |       ens0_layer0_N1001 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N1002_inst |       ens0_layer0_N1002 |          1 |          1 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N1003_inst |       ens0_layer0_N1003 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N1004_inst |       ens0_layer0_N1004 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N1006_inst |       ens0_layer0_N1006 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N1007_inst |       ens0_layer0_N1007 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N1008_inst |       ens0_layer0_N1008 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N100_inst  |        ens0_layer0_N100 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N1010_inst |       ens0_layer0_N1010 |          1 |          1 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N1011_inst |       ens0_layer0_N1011 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N1012_inst |       ens0_layer0_N1012 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N1013_inst |       ens0_layer0_N1013 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N1014_inst |       ens0_layer0_N1014 |          1 |          1 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N1015_inst |       ens0_layer0_N1015 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N1016_inst |       ens0_layer0_N1016 |          1 |          1 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N1017_inst |       ens0_layer0_N1017 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N1019_inst |       ens0_layer0_N1019 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N101_inst  |        ens0_layer0_N101 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N1020_inst |       ens0_layer0_N1020 |          4 |          4 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N1021_inst |       ens0_layer0_N1021 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N1022_inst |       ens0_layer0_N1022 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
|     ens0_layer0_N1023_inst |       ens0_layer0_N1023 |          3 |          3 |       0 |    0 |    0 |      0 |      0 |    0 |          0 |
